izcode,izname,ttwa11cd,ttwa11nm
S02003706,Strutherhill and Birkenshaw,S22000071,Motherwell and Airdrie
S02003707,Stonehouse,S22000071,Motherwell and Airdrie
S02003708,Strathaven South,S22000071,Motherwell and Airdrie
S02003709,Strathaven North,S22000071,Motherwell and Airdrie
S02003710,"Strathaven West, Chapelton, Drumclog and Sandford",S22000071,Motherwell and Airdrie
S02003711,Eddlewood,S22000071,Motherwell and Airdrie
S02003712,Low Waters,S22000071,Motherwell and Airdrie
S02003713,Silvertonhill,S22000071,Motherwell and Airdrie
S02003714,"Hamilton Centre, Low Parks and Ferniegar",S22000071,Motherwell and Airdrie
S02003715,Laighstonehall,S22000071,Motherwell and Airdrie
S02003716,"Woodhead, Meikle Earnock and Fairhill",S22000071,Motherwell and Airdrie
S02003717,Torheads and Little Earnock,S22000071,Motherwell and Airdrie
S02003718,Earnock,S22000071,Motherwell and Airdrie
S02003719,Hillhouse,S22000071,Motherwell and Airdrie
S02003720,High Blantyre,S22000071,Motherwell and Airdrie
S02003721,Blantyre South and Wheatlands,S22000071,Motherwell and Airdrie
S02003722,Low Blantyre and Bardykes,S22000071,Motherwell and Airdrie
S02003723,Blantyre North and Coatshill,S22000071,Motherwell and Airdrie
S02003724,Burnbank North,S22000071,Motherwell and Airdrie
S02003725,Burnbank Central and Udston,S22000071,Motherwell and Airdrie
S02003726,Burnbank South and Chantinghall,S22000071,Motherwell and Airdrie
S02003727,Whitehill,S22000071,Motherwell and Airdrie
S02003728,Bothwell South,S22000071,Motherwell and Airdrie
S02003729,Bothwell North,S22000071,Motherwell and Airdrie
S02003730,Uddingston and Kylepark,S22000071,Motherwell and Airdrie
S02003731,Newton,S22000065,Glasgow
S02003732,"Halfway, Hallside and Drumsagard",S22000065,Glasgow
S02003733,Westburn,S22000065,Glasgow
S02003734,Vicarland and Cairns,S22000065,Glasgow
S02003735,Whitlawburn and Greenlees,S22000065,Glasgow
S02003736,Cambuslang Central,S22000065,Glasgow
S02003737,"Burgh, Eastfield and Silverbank",S22000065,Glasgow
S02003738,Farme Cross and Gallowflat North,S22000065,Glasgow
S02003739,Shawfield and Clincarthill,S22000065,Glasgow
S02003740,Burnhill and Bankhead North,S22000065,Glasgow
S02003741,Bankhead South,S22000065,Glasgow
S02003742,Spittal,S22000065,Glasgow
S02003743,High Crosshill,S22000065,Glasgow
S02003744,Burnside and Springhall,S22000065,Glasgow
S02003745,Fernhill and Cathkin,S22000065,Glasgow
S02003746,"Lindsayfield West, Lindsayfield South and Auldhouse",S22000065,Glasgow
S02003747,Nerston,S22000065,Glasgow
S02003748,Calderwood East,S22000065,Glasgow
S02003749,Calderwood Central,S22000065,Glasgow
S02003750,Calderwood West,S22000065,Glasgow
S02003751,St Leonards North,S22000065,Glasgow
S02003752,St Leonards South,S22000065,Glasgow
S02003753,East Mains,S22000065,Glasgow
S02003754,West Mains,S22000065,Glasgow
S02003755,Stewartfield East,S22000065,Glasgow
S02003756,Stewartfield West,S22000065,Glasgow
S02003757,"Thorntonhall, Jackton and Gardenhall",S22000065,Glasgow
S02003758,Hairmyres and Westwood West,S22000065,Glasgow
S02003759,Mossneuk and Newlandsmuir,S22000065,Glasgow
S02003760,Crosshouse and Lindsayfield Central,S22000065,Glasgow
S02003761,Whitehills West,S22000065,Glasgow
S02003762,Greenhills,S22000065,Glasgow
S02003763,Westwood South,S22000065,Glasgow
S02003764,Westwood East,S22000065,Glasgow
S02003765,The Murray,S22000065,Glasgow
S02003766,"Birniehill, Kelvin and Whitehills East",S22000065,Glasgow
S02003767,Blane Valley,S22000065,Glasgow
S02003768,Balfron and Drymen,S22000061,Falkirk and Stirling
S02003769,"Kippen, Fintry and Gargunnock",S22000061,Falkirk and Stirling
S02003770,Cambusbarron,S22000061,Falkirk and Stirling
S02003771,Plean and Rural SE,S22000061,Falkirk and Stirling
S02003772,Cowie,S22000061,Falkirk and Stirling
S02003773,Fallin,S22000061,Falkirk and Stirling
S02003774,Bannockburn,S22000061,Falkirk and Stirling
S02003775,Hillpark,S22000061,Falkirk and Stirling
S02003776,Broomridge,S22000061,Falkirk and Stirling
S02003777,Borestone,S22000061,Falkirk and Stirling
S02003778,King's Park and Torbrex,S22000061,Falkirk and Stirling
S02003779,Braehead,S22000061,Falkirk and Stirling
S02003780,City Centre,S22000061,Falkirk and Stirling
S02003781,Raploch,S22000061,Falkirk and Stirling
S02003782,Cornton,S22000061,Falkirk and Stirling
S02003783,Causewayhead,S22000061,Falkirk and Stirling
S02003784,Bridge of Allan and University,S22000061,Falkirk and Stirling
S02003785,Riverside and Logie,S22000061,Falkirk and Stirling
S02003786,Dunblane East,S22000061,Falkirk and Stirling
S02003787,Dunblane West,S22000061,Falkirk and Stirling
S02003788,Carse of Stirling,S22000061,Falkirk and Stirling
S02003789,Callander and Trossachs,S22000061,Falkirk and Stirling
S02003790,Highland,S22000061,Falkirk and Stirling
S02003791,Whitecrook,S22000065,Glasgow
S02003792,Singer and Clydebank South,S22000065,Glasgow
S02003793,Drumry,S22000065,Glasgow
S02003794,Kilbowie,S22000065,Glasgow
S02003795,Clydebank North,S22000065,Glasgow
S02003796,Faifley,S22000065,Glasgow
S02003797,Duntocher,S22000065,Glasgow
S02003798,Dalmuir,S22000065,Glasgow
S02003799,Old Kilpatrick,S22000065,Glasgow
S02003800,"Garshake, Milton and Bowling",S22000054,Dumbarton and Helensburgh
S02003801,Dumbarton North,S22000054,Dumbarton and Helensburgh
S02003802,Dumbarton Central,S22000054,Dumbarton and Helensburgh
S02003803,Dumbarton East,S22000054,Dumbarton and Helensburgh
S02003804,Dalreoch,S22000054,Dumbarton and Helensburgh
S02003805,Renton,S22000054,Dumbarton and Helensburgh
S02003806,Bonhill,S22000054,Dumbarton and Helensburgh
S02003807,Alexandria,S22000054,Dumbarton and Helensburgh
S02003808,Balloch,S22000054,Dumbarton and Helensburgh
S02003809,Kilmaronock,S22000054,Dumbarton and Helensburgh
S02003810,Fauldhouse,S22000070,Livingston
S02003811,"Stoneyburn, Addiewell and Breich",S22000070,Livingston
S02003812,West Calder and Polbeth,S22000070,Livingston
S02003813,"Livingston Bellsquarry, Adambrae and Dedridge West",S22000070,Livingston
S02003814,Livingston Murieston,S22000070,Livingston
S02003815,Livingston Dedridge East,S22000070,Livingston
S02003816,Mid Calder and Kirknewton,S22000070,Livingston
S02003817,East Calder West,S22000070,Livingston
S02003818,East Calder East and Wilkieston,S22000070,Livingston
S02003819,Pumpherston and Uphall Station,S22000070,Livingston
S02003820,Livingston Craigshill,S22000070,Livingston
S02003821,Livingston Howden,S22000070,Livingston
S02003822,Livingston Village,S22000070,Livingston
S02003823,Livingston Eliburn South,S22000070,Livingston
S02003824,Livingston Ladywell,S22000070,Livingston
S02003825,Livingston Knightsridge and Eliburn North,S22000070,Livingston
S02003826,Livingston Deans,S22000070,Livingston
S02003827,Livingston Carmondean,S22000070,Livingston
S02003828,Blackburn East and Seafield,S22000070,Livingston
S02003829,Blackburn Central,S22000070,Livingston
S02003830,"Whitburn Whitdale, East Whitburn and Longridge",S22000070,Livingston
S02003831,Whitburn Central,S22000070,Livingston
S02003832,Whitburn West and Greenrigg,S22000070,Livingston
S02003833,Armadale North,S22000070,Livingston
S02003834,Armadale South,S22000070,Livingston
S02003835,Bathgate South West,S22000070,Livingston
S02003836,Bathgate Wester Inch East,S22000070,Livingston
S02003837,Bathgate Boghall,S22000070,Livingston
S02003838,Bathgate Central,S22000070,Livingston
S02003839,Bathgate North West,S22000070,Livingston
S02003840,"Blackridge, Westfield and Torphichen",S22000070,Livingston
S02003841,Linlithgow South and Bathgate Hills,S22000070,Livingston
S02003842,Linlithgow High Street and Linlithgow Bridge,S22000070,Livingston
S02003843,Linlithgow Springfield,S22000070,Livingston
S02003844,"Winchburgh, Bridgend and Philpstoun",S22000070,Livingston
S02003845,Broxburn Kirkhill,S22000070,Livingston
S02003846,"Uphall, Dechmont and Ecclesmachan",S22000070,Livingston
S02003847,Broxburn South,S22000070,Livingston
S02003848,Broxburn East,S22000070,Livingston
